29,-84.227,1025.52972,-84.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,-85.655,1025.53971,-85.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,-87.088,1025.5497,-87.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,-84.544,1025.55969,-84.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,-84.664,1025.56968,-84.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,-83.344,1025.57967,-83.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,-84.154,1025.58966,-84.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,-85.349,1025.59965,-85.349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,-84.545,1025.60964,-84.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,-84.056,1025.61963,-84.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,-83.513,1025.62962,-83.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,-82.56,1025.63961,-82.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-82.677,1025.6496,-82.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,-85.175,1025.65959,-85.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,-83.781,1025.66958,-83.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,-81.781,1025.67957,-81.781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,-84.014,1025.68956,-84.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,-83.516,1025.69955,-83.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,-82.971,1025.70954,-82.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-83.763,1025.71953,-83.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,-86.313,1025.72952,-86.313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,-87.414,1025.73951,-87.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,-83.965,1025.7495,-83.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,-87.122,1025.759491,-87.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,-87.473,1025.769481,-87.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,-85.244,1025.779471,-85.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,-86.142,1025.789461,-86.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,-83.382,1025.799451,-83.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,-81.661,1025.809441,-81.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,-83.47,1025.819431,-83.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,-84.4,1025.829421,-84.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,-82.54,1025.839411,-82.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-81.624,1025.849401,-81.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,-83.892,1025.859391,-83.892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,-86.182,1025.869381,-86.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,-82.222,1025.879371,-82.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,-82.473,1025.889361,-82.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,-83.94,1025.899351,-83.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,-85.056,1025.909341,-85.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,-83.395,1025.919331,-83.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,-82.431,1025.929321,-82.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,-83.169,1025.939311,-83.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,-83.256,1025.949301,-83.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,-84.798,1025.959291,-84.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
